Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"2,2',2"",4,4"",6,6',6""-octanitro-p-terphenyl",,NAC,C18H6N8O16,-62.3,1.762,289.9,339.0,5.48,7.274,231.7,4647.0,57.0,59.0,c1(cc(cc(c1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,4,6,2',2"",4"",6""-heptanitro-4',6'-diaza-m-terphenyl",,NAC,C16H5N9O14,-59.9,1.776,392.6,319.0,5.37,7.334,236.7,4761.0,73.0,58.0,c1nc(c(c(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,4,6,4',2"",4"",6""-heptanitro-2',6'-diaza-m-terphenyl",,NAC,C16H5N9O14,-59.9,1.776,374.1,319.0,5.34,7.322,235.9,4731.0,73.0,58.0,c1nc(nc(c1[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"3,3',5,5'-tetranitro-2,2'-azopyridine",,NAC,C10H4N8O8,-61.5,1.731,534.9,221.0,5.43,7.317,231.9,4890.0,185.0,56.0,N(=N\c1ncc(cc1[N+](=O)[O-])[N+](=O)[O-])/c1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
"2,3,4-Trinitrotoluene","2,3,4-TNT",NAC,C7H5N3O6,-74.0,1.629,67.0,137.0,5.39,6.936,200.6,4357.0,121.0,56.0,c1(ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
"2,2',4,4',6,-pentanitrobenzophenone",,NAC,C13H5N5O11,-68.8,1.719,54.1,239.0,5.14,6.968,209.4,4059.0,97.0,54.0,O=C(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
"3-methyl-2,2',4,4',6,6'-hexanitrobiphenyl",,NAC,C13H6N6O12,-62.1,1.731,153.9,254.0,5.47,7.267,228.8,4736.0,65.0,53.0,c1(c2c(c(c(cc2N(=O)=O)N(=O)=O)C)N(=O)=O)c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
"2,4,6-Trinitrobenzyl alcohol",,NAC,C7H5N3O7,-62.5,1.712,-116.9,164.0,4.97,7.164,220.8,4575.0,75.0,52.0,c1c(cc(c(c1[N+](=O)[O-])CO)[N+](=O)[O-])[N+](=O)[O-]
"2,4,6-Trinitrobenzylalcohol",,NAC,C7H5N3O7,-62.5,1.712,-116.9,164.0,4.97,7.164,220.8,4575.0,130.0,52.0,c1c(cc(c(c1[N+](=O)[O-])CO)[N+](=O)[O-])[N+](=O)[O-]
"2,2',4,4',6,6'-hexanitrobiphenylamine",,NAC,C12H5N7O12,-52.8,1.772,189.2,264.0,5.46,7.506,247.6,5116.0,57.0,48.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
"4-Amino-2,3,5,6-tetranitrotoluene",TetN-p-Tol,NAC,C7H5N5O8,-47.4,1.763,81.8,182.0,5.53,7.736,262.2,5671.0,69.0,47.0,c1(c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])C
"2,4,6-Trinitrobenzyl chloride",,NAC,C7H4N3O6Cl,-58.1,1.724,13.6,147.0,4.62,6.975,210.2,3947.0,75.0,44.0,C(c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)Cl
"2,4,6-trinitroresorcinol",,NAC,C6H3N3O8,-35.9,1.897,-315.2,181.0,4.67,7.8,278.3,5240.0,76.0,43.0,c1c(c(c(c(c1N(=O)=O)O)N(=O)=O)O)N(=O)=O
"3-hydroxy-2,2',4,4',6,6'-hexanitrobiphenyl",,NAC,C12H4N6O13,-47.3,1.828,-1.9,274.0,5.39,7.646,261.7,5239.0,47.0,42.0,N(=O)(=O)c1c(c(c(c(c1)N(=O)=O)O)N(=O)=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
"2,4,6-trinitrobenzaldoxime",,NAC,C7H4N4O7,-56.2,1.731,115.0,172.0,5.51,7.438,239.6,5113.0,132.0,42.0,c1(cc(cc(c1/C=N/O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,3,4,6-tetranitroaniline",TetNA,NAC,C6H3N5O8,-32.2,1.848,86.1,178.0,5.67,8.15,299.3,6274.0,37.0,41.0,N(=O)(=O)c1c(c(c(c(c1)N(=O)=O)N(=O)=O)N(=O)=O)N
"3,3'-dihydroxy-2,2',4,4',6,6'-hexanitrobiphenyl",,NAC,C12H4N6O14,-42.1,1.877,-173.4,298.0,5.2,7.789,275.8,5411.0,52.0,40.0,N(=O)(=O)c1cc(c(c(c1O)N(=O)=O)c1c(c(c(cc1N(=O)=O)N(=O)=O)O)N(=O)=O)N(=O)=O
"azo-bis-2,2',4,4',6,6'-hexanitrobiphenyl",,NAC,C24H6N14O24,-49.4,1.814,714.6,504.0,5.8,7.692,263.7,5430.0,44.0,40.0,N(=N\c1c(c(c(cc1[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1c(c(c(cc1[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
dodecanitroquaterphenyl,,NAC,C24H6N12O24,-51.0,1.816,451.0,484.0,5.7,7.618,258.8,5238.0,37.0,40.0,c1(cc(c(c(c1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(c(c(cc1[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,2',2"",4,4"",5',6,6""-octanitro-p-terphenyl",,NAC,C18H6N8O16,-62.3,1.762,279.6,339.0,5.46,7.268,231.3,4632.0,57.0,40.0,c1c(c(cc(c1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,2',2"",4,4',4"",6,6',6""-nonanitro-m-terphenyl",,NAC,C18H5N9O18,-51.6,1.804,309.7,367.0,5.66,7.58,255.2,5176.0,39.0,39.0,c1c(c(c(c(c1[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,2',4,4',6,6'-Hexanitrodiphenylmethane",HNDPM,NAC,C13H6N6O12,-62.1,1.731,153.6,257.0,5.46,7.265,228.6,4730.0,65.0,39.0,C(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
hexanitrostilbene,HNS,NAC,C14H6N6O12,-67.5,1.705,247.5,261.0,5.51,7.11,216.9,4439.0,75.0,39.0,c1(cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"3-Amino-2,4,5,6-tetranitrotoluene",TetN-m-Tol,NAC,C7H5N5O8,-47.4,1.763,83.8,182.0,5.53,7.738,262.3,5678.0,69.0,37.0,c1(c(c(c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
"2,2,4,4,6,6-Hexanitroazobenzene",,NAC,C12H4N8O12,-49.5,1.777,450.3,270.0,5.82,7.659,258.2,5444.0,58.0,37.0,N(=N\c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2-Amino-3,4,5,6-tetranitrotoluene",TetN-o-Tol,NAC,C7H5N5O8,-47.4,1.763,98.1,182.0,5.58,7.755,263.5,5728.0,69.0,36.0,c1(c(c(c(c(c1N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
"2,4,6-trinitrobenzaldehyde",,NAC,C7H3N3O7,-56.4,1.717,-37.2,150.0,5.22,7.183,222.4,4407.0,82.0,36.0,c1(cc(cc(c1C=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
