Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"bis-(trinitroethyl)-2,4,6-trinitrazaheptanedioate",,NNO2,C8H8N12O22,5.1,1.832,-435.3,368.0,5.31,8.513,324.9,6416.0,12.0,13.0,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(CN(CN(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
"N,N'-dinitromethylene-bis-(4,4,4-trinitro)-butyramide",,NNO2,C9H10N10O18,-14.6,1.753,-224.4,323.0,5.89,8.34,303.6,6576.0,18.0,13.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(CN(N(=O)=O)C(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"1,3,5-tris(1-oxo-5,5,5-trinitro-3-nitrazapentyl)-s-triazacyclohexane",,NNO2,C15H18N18O27,-21.8,1.753,-167.4,494.0,5.73,8.249,297.0,6453.0,26.0,13.0,C1N(CN(CN1C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,1,1,3,6,9,11,11,11-nonanitro-3,6,9-triazaundecane",,NNO2,C8H12N12O18,-11.3,1.744,146.6,330.0,6.43,8.638,324.7,7391.0,12.0,12.0,N(N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CCN(N(=O)=O)CCN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"bis-(trinitroethyl)-5,5-dinitro-2,8-dintraza-nonanedioate",,NNO2,C11H12N12O24,-9.2,1.771,-616.9,405.0,5.7,8.372,307.8,6468.0,19.0,12.0,N(=O)(=O)C(N(=O)=O)(CCN(N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)CCN(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"Compound (1) in JOC 61,9340 (1996)",,NNO2,C6H4N8O10,-18.4,1.894,235.3,183.0,6.06,8.723,347.8,7447.0,17.0,11.0,C12C(C3C1N(C(=O)N3[N+](=O)[O-])[N+](=O)[O-])N(C(=O)N2[N+](=O)[O-])[N+](=O)[O-]
"1,1,1,4,6,6,8,11,11,11-Decanitro-4,8-diazaundecane",,NNO2,C9H12N12O20,-10.5,1.755,41.4,353.0,6.4,8.627,325.1,7328.0,12.0,11.0,N(CC(N(=O)=O)(CN(N(=O)=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"1,1,1,5,7,10,14,14,14-nonanitro-3,12-dioxa-4,11-dioxo-5,7,10-triazatetradecane",,NNO2,C9H10N12O22,-2.5,1.796,-479.7,374.0,5.8,8.571,325.4,6797.0,15.0,11.0,C(COC(=O)N(CN(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
trinitroethyl-cyanomethylnitramine,,NNO2,C4H4N6O8,-12.1,1.737,216.2,173.0,6.46,8.507,314.2,7110.0,13.0,11.0,N(CC#N)(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"Compound (14) in PEP 39,90 (2014)",,NNO2,C6H6N8O10,-22.8,1.803,35.1,179.0,5.59,8.31,306.6,6516.0,23.0,11.0,N1(C(=O)N(C2(C1(N(C(=O)N2[N+](=O)[O-])[N+](=O)[O-])C)C)[N+](=O)[O-])[N+](=O)[O-]
"N-methyl-N'-trinitroethyl-N,N'-dinitro-1,2-ethanediamine",,NNO2,C5H9N7O10,-22.0,1.666,69.5,194.0,6.25,8.284,290.3,6791.0,18.0,11.0,N(CCN(N(=O)=O)C)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"1,1,1,3,6,6,9,11,11,11-decanitro-3,9-diazaundecane",,NNO2,C9H12N12O20,-10.5,1.755,73.7,353.0,6.46,8.645,326.5,7391.0,12.0,10.0,N(CCC(N(=O)=O)(N(=O)=O)CCN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"bis-(trinitroethyl)-2,4-dinitrazapentanedioate",,NNO2,C7H6N10O20,8.7,1.851,-510.1,327.0,4.8,8.334,313.2,5851.0,12.0,10.0,C(N(N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"methyl-2,2,2-trinitroethylnitramine",,NNO2,C3H5N5O8,-3.3,1.73,37.9,146.0,6.6,8.748,331.4,7567.0,11.0,9.0,N(N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C
"2,2,2-trinitroethyl-N-(2,2,2-trinitroethyl)-nitramino acetate",,NNO2,C6H6N8O16,3.6,1.807,-111.5,263.0,6.08,8.71,337.3,7154.0,11.0,9.0,C([C@H](CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(N(=O)=O)OC(=O)C)(N(=O)=O)(N(=O)=O)N(=O)=O
"N-nitro-N-(3,3,3-trinitropropyl)-2,2,2-trintroethyl carbamate",,NNO2,C6H6N8O16,3.6,1.82,-288.9,267.0,5.67,8.604,330.5,6755.0,11.0,9.0,O=C(N(N(=O)=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"N,N'-dinitro-N,N'-bis-(3,3,3-trinitropropyl)-oxamide",,NNO2,C8H8N10O18,-6.0,1.793,-184.9,316.0,6.05,8.59,326.5,6995.0,13.0,9.0,N(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)C(=O)C(=O)N(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"1-nitro-2,5-bis-(trinitromethyl)-pyrrolidine",,NNO2,C6H6N8O14,-3.9,1.827,124.4,238.0,6.7,8.956,359.0,8020.0,9.0,6.0,N1(C(CCC1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,2,2-trinitroethyl-3',3',3'-trinitropropylnitramine",,NNO2,C5H6N8O14,4.0,1.812,41.2,241.0,6.2,8.829,347.2,7463.0,8.0,6.0,N(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"N,N'-bis-(2,2,2-trinitroethyl)-N,N'-dinitromethanediamine",,NNO2,C5H6N10O16,10.4,1.843,136.1,275.0,5.53,8.702,340.7,6881.0,7.0,5.0,N(N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"bis-(2,2,2-trinitroethyl)-nitramine",BTNNA,NNO2,C4H4N8O14,16.5,1.873,92.0,235.0,4.93,8.525,330.0,6249.0,6.0,5.0,N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
Nitromethane,NM,CNO2,CH3NO2,-39.3,1.421,-81.2,48.0,5.44,7.271,201.1,4880.0,86.0,320.0,C[N+](=O)[O-]
"bis-(2,2-dinitropropyl)-carbonate",,CNO2,C7H10N4O11,-39.2,1.599,-702.2,186.0,4.6,7.201,213.7,4402.0,94.0,300.0,O=C(OCC(N(=O)=O)(C)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)C
"nitroisobutyl-4,4,4-trinitrobutyrate",,CNO2,C8H12N4O10,-59.2,1.535,-505.5,185.0,4.77,6.92,192.1,4246.0,128.0,279.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(C)(C)N(=O)=O
"1,3,5,7-Tetranitroadamantane",,CNO2,C10H12N4O8,-91.1,1.681,-245.0,152.0,4.58,6.845,199.3,4502.0,230.0,240.0,C12(CC3(CC(C1)(CC(C2)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"bis-(2,2-dinitropropyl)-oxalate",,CNO2,C8H10N4O12,-40.7,1.612,-807.2,203.0,4.45,7.109,209.3,4193.0,119.0,227.0,O=C(OCC(N(=O)=O)(C)N(=O)=O)C(=O)OCC(N(=O)=O)(C)N(=O)=O
"2',2'-dinitropropyl-2,4,6-trinitrobenzoate",,CNO2,C10H7N5O12,-47.3,1.699,-340.7,227.0,5.01,7.315,229.1,4661.0,68.0,214.0,c1c(c(c(cc1N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)C)N(=O)=O
"2,2-dinitropropyl-trinitrobutyrate",,CNO2,C7H9N5O12,-29.3,1.661,-489.2,209.0,5.25,7.695,250.0,5331.0,40.0,151.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)C
"2,2,2-trinitroethyl-4,4-dinitrohexanoate",,CNO2,C8H11N5O12,-41.2,1.616,-500.3,216.0,5.13,7.424,228.6,4974.0,59.0,138.0,N(=O)(=O)C(N(=O)=O)(N(=O)=O)COC(=O)CCC(N(=O)=O)(N(=O)=O)CC
"5,5,5-trinitropentan-2-one",,CNO2,C5H7N3O7,-47.0,1.582,-229.0,136.0,5.29,7.33,219.8,4939.0,61.0,125.0,N(=O)(=O)C(N(=O)=O)(CCC(=O)C)N(=O)=O
"ethylene-bis-(4,4,4-trinitrobutyrate)",,CNO2,C10H12N6O16,-33.9,1.664,-795.8,280.0,4.96,7.519,238.9,4963.0,59.0,120.0,O(CCOC(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
"methylene-bis-(4,4,4-trinitrobutyramide)",,CNO2,C9H12N8O14,-35.1,1.674,-443.4,284.0,5.04,7.635,247.3,5242.0,56.0,113.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCNC(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
N-(2-propyl)-trinitroacetamide,,CNO2,C5H8N4O7,-47.4,1.564,-210.5,146.0,5.09,7.272,214.7,4813.0,90.0,112.0,O=C(C(N(=O)=O)(N(=O)=O)N(=O)=O)NC(C)C
"2,2-dinitro-1,3-propane-diol",,CNO2,C3H6N2O6,-28.9,1.712,-431.8,134.0,4.51,7.74,257.7,5156.0,118.0,110.0,C(C(N(=O)=O)(N(=O)=O)CO)O
N-(t-butyl)-trinitroacetamide,,CNO2,C6H10N4O7,-64.0,1.502,-228.9,145.0,4.91,6.892,187.7,4331.0,151.0,110.0,O=C(C(N(=O)=O)(N(=O)=O)N(=O)=O)NC(C)(C)C
1-dinitromethyl-3-nitrobenzene,,CNO2,C7H5N3O6,-74.0,1.61,32.6,138.0,5.23,6.831,193.1,4118.0,76.0,105.0,c1cc(cc(c1)N(=O)=O)C(N(=O)=O)N(=O)=O
"2,2-dinitrobutyl-4,4,4-trinitrobutyramide",,CNO2,C8H12N6O11,-47.8,1.598,-324.2,221.0,5.13,7.36,223.1,4980.0,69.0,101.0,O=C(NCC(CC)([N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
"ethyl-2,2,2-trinitroethylcarbonate",,CNO2,C5H7N3O9,-28.4,1.634,-585.1,154.0,4.7,7.429,230.6,4672.0,82.0,81.0,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC
"3,3,4,4-tetranitrohexane",,CNO2,C6H10N4O8,-54.1,1.536,-103.8,152.0,5.8,7.376,218.3,5329.0,60.0,80.0,CCC(N(=O)=O)(N(=O)=O)C(N(=O)=O)(CC)N(=O)=O
"2',2',2'-trinitroethyl-3,5-dinitrobenzoate",,CNO2,C9H5N5O12,-36.3,1.75,-290.4,223.0,5.23,7.612,252.7,5093.0,38.0,73.0,N(=O)(=O)c1cc(cc(c1)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"2,2-dinitropropyl-4,4,4-trinitrobutyramide",,CNO2,C7H10N6O11,-36.1,1.642,-291.2,214.0,5.32,7.653,245.4,5400.0,47.0,72.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)C
"N,N-bis-(2,2-dinitropropyl)-4,4,4-trinitrobutyramide",,CNO2,C10H14N8O15,-39.5,1.627,-311.5,274.0,5.51,7.632,242.7,5472.0,46.0,72.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(CC(N(=O)=O)(C)N(=O)=O)CC(N(=O)=O)(C)N(=O)=O
"2,2,2-trinitroethyl-4,4-dinitrovalerate",,CNO2,C7H9N5O12,-29.3,1.661,-440.7,209.0,5.39,7.744,253.2,5468.0,40.0,70.0,O(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)CCC(N(=O)=O)(C)N(=O)=O
"bis-(2,2,2-trinitroethyl)-4,4-dinitroheptanedioate",,CNO2,C11H12N8O20,-22.2,1.717,-792.4,337.0,5.34,7.912,269.8,5635.0,34.0,68.0,C(=O)(CCC(N(=O)=O)(N(=O)=O)CCC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"3,3,9,9-tetranitro-1,5,7,11-tetraoxaspiro-(5.5)-undecane",,CNO2,C7H8N4O12,-28.2,1.784,-721.4,175.0,4.84,7.871,273.3,5452.0,79.0,66.0,O1CC(COC21OCC(CO2)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
"bis(2-fluoro-2,2-dinitroethyl)formal",FEFO,CNO2,C5H6N4O10F2,-10.0,1.774,-775.6,171.0,5.18,8.247,299.1,6036.0,42.0,60.0,C(OCC([N+](=O)[O-])([N+](=O)[O-])F)OCC([N+](=O)[O-])([N+](=O)[O-])F
"2,2,4,6,6-pentanitroheptane",,CNO2,C7H11N5O10,-46.7,1.571,-226.8,186.0,5.54,7.443,225.6,5252.0,50.0,56.0,CC(N(=O)=O)(CC(CC(N(=O)=O)(C)N(=O)=O)N(=O)=O)N(=O)=O
"2,2-Dinitropropane-1,3-diol-bis-(4,4,4-trinitrobutyrate)",,CNO2,C11H12N8O20,-22.2,1.717,-817.8,337.0,5.29,7.895,268.7,5587.0,34.0,50.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(COC(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
"N,N'-bis-(3,3,3-trinitropropyl)-oxamide",,CNO2,C8H10N8O14,-25.3,1.717,-394.0,277.0,5.22,7.91,269.7,5661.0,41.0,45.0,O=C(NCCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)NCCC(N(=O)=O)(N(=O)=O)N(=O)=O
"2',2',2'-trinitroethyl-3,5-dinitrosalicylate",,CNO2,C9H5N5O13,-30.7,1.806,-474.9,247.0,4.98,7.75,267.0,5210.0,42.0,45.0,c1c(cc(c(c1C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
"4,4,4-trinitrobutyramide",,CNO2,C4H6N4O7,-28.8,1.694,-236.8,149.0,5.07,7.814,261.0,5500.0,50.0,40.0,O=C(N)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
"1,1,1,7,7,7-hexanitroheptan-4-one",,CNO2,C7H8N6O13,-20.8,1.718,-228.5,232.0,5.93,8.167,287.6,6339.0,21.0,34.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
"1,1,1,3-tetranitrobutane",,CNO2,C4H6N4O8,-20.2,1.664,-100.8,146.0,6.14,8.168,282.0,6453.0,21.0,33.0,N(=O)(=O)C(N(=O)=O)(N(=O)=O)C[C@@H](N(=O)=O)C
"bis-(2,2,2-trinitroethyl)-4,4,6,6,8,8-hexanitro-undecanedioate",,CNO2,C15H16N12O28,-19.7,1.734,-766.9,465.0,5.71,8.124,286.2,6141.0,25.0,32.0,C(C(N(=O)=O)(N(=O)=O)N(=O)=O)OC(=O)CCC(CC(CC(CCC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
"1-(2,2,2-Trinitroethyl)-2,4,6-trinitrobenzene",,CNO2,C8H5N5O10,-41.1,1.732,66.2,197.0,5.89,7.777,262.1,5713.0,26.0,31.0,c1cc(c(cc1N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"1-(3,3,3-trinitropropyl)-2,4-dinitrobenzene",,CNO2,C9H7N5O10,-53.3,1.677,17.5,204.0,5.62,7.44,235.1,5181.0,42.0,31.0,c1cc(c(cc1N(=O)=O)N(=O)=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
"bis-(2,2,2-trinitroethyl)-succinate",,CNO2,C8H8N6O16,-14.4,1.746,-675.6,266.0,5.37,8.064,283.2,5807.0,31.0,30.0,C(CC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"4,4,4-trinitrobutyric anhydride",,CNO2,C8H8N6O15,-18.7,1.735,-575.2,257.0,5.37,7.989,276.8,5728.0,28.0,30.0,O(C(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
"N-(trinitropropyl)-3,3,5,5-tetranitro-piperdine",,CNO2,C8H10N8O14,-25.3,1.744,-31.0,246.0,6.11,8.317,301.0,6811.0,23.0,29.0,N1(CC(CC(C1)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
"2,2,4,4,6,6-hexanitroheptane",,CNO2,C7H10N6O12,-30.3,1.645,-152.4,209.0,6.01,7.95,265.2,6123.0,27.0,29.0,CC(N(=O)=O)(CC(N(=O)=O)(CC(N(=O)=O)(C)N(=O)=O)N(=O)=O)N(=O)=O
"methyl-2,2,2-trinitro-ethyl carbonate",,CNO2,C4H5N3O9,-10.0,1.706,-550.8,147.0,4.96,7.881,266.6,5288.0,46.0,28.0,O=C(OC)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
methylene-bis-(trinitroethyl)-carbamate,,CNO2,C7H8N8O16,-7.0,1.788,-695.7,288.0,5.09,8.229,299.2,5910.0,35.0,27.0,C(NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"1,5-bis-(trinitroethyl)-biuret",,CNO2,C6H7N9O14,-5.6,1.815,-311.7,278.0,5.41,8.484,320.9,6503.0,26.0,24.0,N(C(=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
"2',2',2'-trinitroethyl-2,4,6-trinitrobenzoate",,CNO2,C8H2N6O14,-11.8,1.872,-175.1,244.0,5.86,8.412,321.2,6488.0,15.0,24.0,c1c(c(c(cc1N(=O)=O)N(=O)=O)C(=O)OC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"2',2',2'-Trinitroethyl-2,4,6-trinitrobenzoate",,CNO2,C9H4N6O14,-22.8,1.813,-245.7,251.0,5.59,8.062,289.5,5883.0,24.0,24.0,c1(cc(cc(c1C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
bis-(trinitropropyl)-urea,,CNO2,C7H10N8O13,-23.2,1.712,-224.3,260.0,5.55,8.09,281.6,6112.0,33.0,23.0,O=C(NCCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCCC(N(=O)=O)(N(=O)=O)N(=O)=O
"1-(3,3,3-trinitropropyl)-2,4,6-trinitrobenzene",,CNO2,C9H6N6O12,-36.9,1.748,39.4,232.0,5.9,7.904,272.3,5942.0,26.0,21.0,c1c(cc(c(c1N(=O)=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
"bis-(1,1,1-trinitro-2-propyl)-urea",,CNO2,C7H10N8O13,-23.2,1.688,-192.6,251.0,5.65,8.046,276.1,6068.0,33.0,19.0,C(=O)(NC(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C)NC(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C
"N-(2,2,2-trinitroethyl)-3,3,5,5-tetranitro-piperidine",,CNO2,C7H8N8O14,-14.9,1.793,-8.3,240.0,6.27,8.614,328.4,7304.0,17.0,18.0,N1(CC(CC(C1)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
"2,2,2-trinitroethyl-4,4,4-trinitrobutyrate",,CNO2,C6H6N6O14,-4.1,1.784,-395.9,233.0,5.85,8.484,317.6,6663.0,16.0,18.0,C(=O)(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
"N-trinitroethyl-4,4,4-trinitrobutyramide",,CNO2,C6H7N7O13,-10.4,1.767,-219.2,239.0,5.86,8.43,311.8,6677.0,18.0,18.0,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
"2,2,2-trinitroethyl carbamate",,CNO2,C3H4N4O8,0.0,1.82,-386.3,150.0,5.03,8.418,316.4,6125.0,31.0,18.0,O(C(=O)N)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"N,N'-bis-(2,2,2-trinitroethyl)-urea",,CNO2,C5H6N8O13,0.0,1.822,-187.0,246.0,5.85,8.736,341.0,7109.0,16.0,17.0,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
bis-(trinitroethoxy)-methane,,CNO2,C5H6N6O14,4.3,1.796,-327.1,225.0,5.72,8.576,325.9,6737.0,14.0,17.0,C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"1,1,1,6,6,6-hexanitro-3-hexene",,CNO2,C6H6N6O12,-13.6,1.736,34.1,212.0,6.55,8.473,311.6,7076.0,12.0,17.0,C(C/C=C/CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
"bis-(2,2,2-trinitroethyl)-carbonate",,CNO2,C5H4N6O15,12.4,1.855,-506.6,235.0,4.4,8.143,299.4,5339.0,12.0,16.0,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
bis-(trinitroethyl)-oxalate,,CNO2,C6H4N6O16,7.7,1.85,-638.5,252.0,4.7,8.203,303.4,5560.0,16.0,15.0,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"trinitroethyl-2,2-dinitropropylcarbonate",,CNO2,C6H7N5O13,-11.2,1.728,-608.3,211.0,5.31,8.065,281.4,5760.0,30.0,15.0,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)C
bis-(trinitroethyl)-fumarate,,CNO2,C8H6N6O16,-10.9,1.765,-585.8,263.0,5.51,8.133,289.9,5899.0,25.0,14.0,C(=C\C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])/C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
bis-(trinitroethyl)-oxamide,,CNO2,C6H6N8O14,-3.9,1.82,-321.2,263.0,5.57,8.527,324.7,6619.0,20.0,13.0,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
"1-(2,2,2-trinitroethyl)-2,4,6-trinitrobenzene",,CNO2,C8H4N6O12,-25.5,1.804,91.7,225.0,6.16,8.242,301.7,6519.0,17.0,13.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"methylene-bis-N'N'-(2,2,2-trinitroacetamide)",,CNO2,C5H4N8O14,8.0,1.883,-210.4,257.0,4.96,8.503,329.3,6214.0,14.0,9.0,C(NC(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O)NC(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
"1,1,1,3,5,5,5-heptanitropentane",,CNO2,C5H5N7O14,6.2,1.825,-42.4,235.0,5.93,8.723,340.3,7108.0,8.0,8.0,N(=O)(=O)C(N(=O)=O)(N(=O)=O)CC(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"1,1,1,6,6,6-Hexanitro-3-hexyne",,CNO2,C6H4N6O12,-9.1,1.772,205.1,219.0,6.92,8.66,329.5,7499.0,9.0,7.0,C(CC#CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
"tris-(2,2,2-trinitroethyl)-orthoformate",,CNO2,C7H7N9O21,10.1,1.836,-468.1,325.0,5.08,8.421,318.3,6138.0,11.0,7.0,O(C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"tetrakis-(2,2,2-trinitroethyl)-orthocarbonate",,CNO2,C9H8N12O28,13.1,1.862,-627.4,421.0,4.73,8.339,314.7,5821.0,10.0,7.0,O(C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
trinitroethyl-bis-(trinitroethoxy)-acetate,,CNO2,C8H7N9O22,6.9,1.834,-625.3,342.0,5.21,8.427,318.6,6202.0,13.0,6.0,O=C(C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"4-picrylamino-1,2,4-triazole",,5mArN,C8H5N7O6,-67.8,1.697,474.4,177.0,5.39,7.256,225.3,4981.0,281.0,314.0,c1n(cnn1)Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
2-Nitro-1-picryl-imidazole,,5mArN,C9H4N6O8,-59.2,1.756,232.2,196.0,5.24,7.343,235.6,4864.0,108.0,312.0,c1nc([nH]c1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
